-3.5,2
-3.45,2.0924
-3.4,2.1744
-3.35,2.2462
-3.3,2.3084
-3.25,2.3613
-3.2,2.4053
-3.15,2.4408
-3.1,2.4681
-3.05,2.4877
-3,2.5
-2.95,2.5053
-2.9,2.504
-2.85,2.4965
-2.8,2.4833
-2.75,2.4646
-2.7,2.4409
-2.65,2.4126
-2.6,2.3801
-2.55,2.3436
-2.5,2.3038
-2.45,2.2608
-2.4,2.2152
-2.35,2.1672
-2.3,2.1174
-2.25,2.066
-2.2,2.0135
-2.15,1.9603
-2.1,1.9067
-2.05,1.8531
-2,1.8
-1.95,1.7476
-1.9,1.6959
-1.85,1.6449
-1.8,1.5945
-1.75,1.5445
-1.7,1.495
-1.65,1.4458
-1.6,1.3968
-1.55,1.348
-1.5,1.2993
-1.45,1.2507
-1.4,1.2019
-1.35,1.153
-1.3,1.1039
-1.25,1.0545
-1.2,1.0047
-1.15,0.9544
-1.1,0.9036
-1.05,0.8521
-1,0.8
-0.95,0.7471
-0.9,0.6939
-0.85,0.6406
-0.8,0.5877
-0.75,0.5356
-0.7,0.4847
-0.65,0.4352
-0.6,0.3877
-0.55,0.3425
-0.5,0.3
-0.45,0.2605
-0.4,0.2238
-0.35,0.1896
-0.3,0.1578
-0.25,0.128
-0.2,0.0999
-0.15,0.0733
-0.1,0.048
-0.05,0.0236
0,0
0.05,-0.0232
0.1,-0.0458
0.15,-0.0679
0.2,-0.0894
0.25,-0.1101
0.3,-0.1302
0.35,-0.1494
0.4,-0.1678
0.45,-0.1853
0.5,-0.2018
0.55,-0.2173
0.6,-0.2316
0.65,-0.2448
0.7,-0.2568
0.75,-0.2676
0.8,-0.2769
0.85,-0.2849
0.9,-0.2915
0.95,-0.2965
1,-0.3
1.05,-0.3019
1.1,-0.3022
1.15,-0.3012
1.2,-0.2988
1.25,-0.2953
1.3,-0.2908
1.35,-0.2853
1.4,-0.2789
1.45,-0.2719
1.5,-0.2642
1.55,-0.2561
1.6,-0.2476
1.65,-0.2388
1.7,-0.2299
1.75,-0.221
1.8,-0.2122
1.85,-0.2035
1.9,-0.1952
1.95,-0.1873
2,-0.18
2.05,-0.1732
2.1,-0.1666
2.15,-0.1596
2.2,-0.1518
2.25,-0.1426
2.3,-0.1316
2.35,-0.1182
2.4,-0.1019
2.45,-0.0823
2.5,-0.0588
2.55,-0.0309
2.6,0.0018
2.65,0.04
2.7,0.084
2.75,0.1344
2.8,0.1917
2.85,0.2565
2.9,0.3291
2.95,0.4101
3,0.5
3.05,0.5993
3.1,0.7086
3.15,0.8283
3.2,0.9588
3.25,1.1009
3.3,1.2548
3.35,1.4212
3.4,1.6005
3.45,1.7933
3.5,2
3.5,2
3.45,2.1021
3.4,2.1912
3.35,2.268
3.3,2.3328
3.25,2.3862
3.2,2.4287
3.15,2.4609
3.1,2.4831
3.05,2.496
3,2.5
2.95,2.4957
2.9,2.4835
2.85,2.4639
2.8,2.4376
2.75,2.4049
2.7,2.3663
2.65,2.3225
2.6,2.2739
2.55,2.2209
2.5,2.1642
2.45,2.1042
2.4,2.0414
2.35,1.9763
2.3,1.9095
2.25,1.8414
2.2,1.7726
2.15,1.7035
2.1,1.6347
2.05,1.5667
2,1.5
1.95,1.435
1.9,1.3717
1.85,1.3102
1.8,1.2503
1.75,1.1922
1.7,1.1356
1.65,1.0807
1.6,1.0274
1.55,0.9756
1.5,0.9254
1.45,0.8766
1.4,0.8293
1.35,0.7834
1.3,0.739
1.25,0.6959
1.2,0.6541
1.15,0.6137
1.1,0.5746
1.05,0.5367
1,0.5
0.95,0.4645
0.9,0.4302
0.85,0.3971
0.8,0.3651
0.75,0.3343
0.7,0.3046
0.65,0.2761
0.6,0.2486
0.55,0.2222
0.5,0.1969
0.45,0.1726
0.4,0.1494
0.35,0.1273
0.3,0.1061
0.25,0.086
0.2,0.0668
0.15,0.0487
0.1,0.0315
0.05,0.0153
0,0
-0.05,-0.0143
-0.1,-0.0276
-0.15,-0.0397
-0.2,-0.0504
-0.25,-0.0597
-0.3,-0.0675
-0.35,-0.0735
-0.4,-0.0777
-0.45,-0.0799
-0.5,-0.08
-0.55,-0.078
-0.6,-0.0739
-0.65,-0.0682
-0.7,-0.0609
-0.75,-0.0524
-0.8,-0.043
-0.85,-0.0327
-0.9,-0.022
-0.95,-0.011
-1,0
-1.05,0.0108
-1.1,0.0215
-1.15,0.0321
-1.2,0.0428
-1.25,0.0537
-1.3,0.0648
-1.35,0.0762
-1.4,0.0881
-1.45,0.1005
-1.5,0.1135
-1.55,0.1273
-1.6,0.1419
-1.65,0.1574
-1.7,0.174
-1.75,0.1916
-1.8,0.2105
-1.85,0.2307
-1.9,0.2522
-1.95,0.2753
-2,0.3
-2.05,0.3264
-2.1,0.3544
-2.15,0.3843
-2.2,0.416
-2.25,0.4495
-2.3,0.4849
-2.35,0.5222
-2.4,0.5615
-2.45,0.6028
-2.5,0.6461
-2.55,0.6915
-2.6,0.7391
-2.65,0.7887
-2.7,0.8406
-2.75,0.8947
-2.8,0.9511
-2.85,1.0097
-2.9,1.0708
-2.95,1.1342
-3,1.2
-3.05,1.2683
-3.1,1.3391
-3.15,1.4124
-3.2,1.4883
-3.25,1.5668
-3.3,1.648
-3.35,1.7319
-3.4,1.8185
-3.45,1.9078
-3.5,2
